,distrito,ano,quarter,precio
408,Latina,2013,2,8.79643198397542
409,Moncloa,2013,2,11.7677892021141
410,Moratalaz,2013,2,8.71382288160069
411,Puente De Vallecas,2013,2,9.22174861433047
412,Retiro,2013,2,11.4195758986885
413,Salamanca,2013,2,13.5272766043831
414,San Blas,2013,2,9.34902135574314
415,Tetuan,2013,2,10.5591291676963
416,Usera,2013,2,8.99938001786019
417,Vicálvaro,2013,2,8.60658266148793
418,Villa De Vallecas,2013,2,8.82288360583209
419,Villaverde,2013,2,8.21709170583227
420,Arganzuela,2013,3,10.89
421,Barajas,2013,3,10.01
422,Carabanchel,2013,3,9.22
423,Centro,2013,3,13.49
424,Chamartín,2013,3,12.57
425,Chamberí,2013,3,12.96
426,Ciudad Lineal,2013,3,10.48
427,Fuencarral,2013,3,10.2
428,Hortaleza,2013,3,10.73
429,Latina,2013,3,8.92
430,Moncloa,2013,3,11.75
431,Moratalaz,2013,3,8.48
432,Puente De Vallecas,2013,3,9.08
433,Retiro,2013,3,11.35
434,Salamanca,2013,3,13.59
435,San Blas,2013,3,9.46
436,Tetuan,2013,3,11.27
437,Usera,2013,3,8.81
438,Vicálvaro,2013,3,8.22
439,Villa De Vallecas,2013,3,8.79
440,Villaverde,2013,3,8.0
441,Arganzuela,2013,4,10.8858069767005
442,Barajas,2013,4,10.1819608094653
443,Carabanchel,2013,4,8.81158350829593
444,Centro,2013,4,13.3822052801994
445,Chamartín,2013,4,12.27163963105
446,Chamberí,2013,4,13.0039158573793
447,Ciudad Lineal,2013,4,10.2175801848829
448,Fuencarral,2013,4,9.87960665515587
449,Hortaleza,2013,4,10.8980408197919
450,Latina,2013,4,8.45491551892365
451,Moncloa,2013,4,11.3603894250714
452,Moratalaz,2013,4,8.33049430140202
453,Puente De Vallecas,2013,4,8.64026027165763
454,Retiro,2013,4,11.5196751558057
455,Salamanca,2013,4,13.2930664878794
456,San Blas,2013,4,9.28269287897229
457,Tetuan,2013,4,11.2223607143676
458,Usera,2013,4,8.84272690476078
459,Vicálvaro,2013,4,8.18222284461504
460,Villa De Vallecas,2013,4,8.74688363088342
461,Villaverde,2013,4,7.93331780975459
462,Arganzuela,2014,1,10.9374781395966
463,Barajas,2014,1,10.00814884941
464,Carabanchel,2014,1,8.83351044694718
465,Centro,2014,1,13.5904774555863
466,Chamartín,2014,1,12.2684564576669
467,Chamberí,2014,1,13.3669247616624
468,Ciudad Lineal,2014,1,10.3064138553634
469,Fuencarral,2014,1,10.1262694023151
470,Hortaleza,2014,1,11.0093598627774
471,Latina,2014,1,9.02692148629823
472,Moncloa,2014,1,12.3507040716668
473,Moratalaz,2014,1,8.49851824978058
474,Puente De Vallecas,2014,1,8.60963457721565
475,Retiro,2014,1,11.6327626766866
476,Salamanca,2014,1,13.9659115030923
477,San Blas,2014,1,9.38414400017937
478,Tetuan,2014,1,11.2243451876198
479,Usera,2014,1,9.19397968789023
480,Vicálvaro,2014,1,7.9712021150398
481,Villa De Vallecas,2014,1,8.77302811864205
482,Villaverde,2014,1,8.09074610919777
483,Arganzuela,2014,2,10.68
484,Barajas,2014,2,9.85
485,Carabanchel,2014,2,8.27
486,Centro,2014,2,13.39
487,Chamartín,2014,2,12.26
488,Chamberí,2014,2,13.21
489,Ciudad Lineal,2014,2,10.19
490,Fuencarral,2014,2,9.95
491,Hortaleza,2014,2,10.57
492,Latina,2014,2,8.56
493,Moncloa,2014,2,12.0
494,Moratalaz,2014,2,8.37
495,Puente De Vallecas,2014,2,8.41
496,Retiro,2014,2,11.4
497,Salamanca,2014,2,13.43
498,San Blas,2014,2,9.2
499,Tetuan,2014,2,11.06
500,Usera,2014,2,8.42
501,Vicálvaro,2014,2,8.26
502,Villa De Vallecas,2014,2,8.59
503,Villaverde,2014,2,7.81
504,Arganzuela,2014,3,10.7747389574552
505,Barajas,2014,3,9.77862030001998
506,Carabanchel,2014,3,8.16135061411346
507,Centro,2014,3,13.4640041023515
508,Chamartín,2014,3,12.1727354668413
509,Chamberí,2014,3,13.2325093465106
510,Ciudad Lineal,2014,3,10.0468797303064
511,Fuencarral,2014,3,9.80088196075923
512,Hortaleza,2014,3,10.5426362507201
513,Latina,2014,3,8.66108033321047
514,Moncloa,2014,3,11.6835203112687
515,Moratalaz,2014,3,8.35690382290628
516,Puente De Vallecas,2014,3,8.28698492838285
517,Retiro,2014,3,11.6633377448659
518,Salamanca,2014,3,13.5349038342957
519,San Blas,2014,3,9.16913940397139
520,Tetuan,2014,3,11.124943500392
521,Usera,2014,3,8.39784787558856
522,Vicálvaro,2014,3,7.91069828518971
523,Villa De Vallecas,2014,3,8.5085795010639
524,Villaverde,2014,3,7.59154123593289
525,Arganzuela,2014,4,10.9834524125808
526,Barajas,2014,4,9.48864391020779
527,Carabanchel,2014,4,8.34620440033888
528,Centro,2014,4,13.6749100899222
529,Chamartín,2014,4,12.3976102199946
530,Chamberí,2014,4,13.4600501941345
531,Ciudad Lineal,2014,4,10.195528771549
532,Fuencarral,2014,4,10.2281212284698
533,Hortaleza,2014,4,10.3196636202872
534,Latina,2014,4,8.50109052612795
535,Moncloa,2014,4,11.9604153370901
536,Moratalaz,2014,4,8.51303041212471
537,Puente De Vallecas,2014,4,8.06611634254025
538,Retiro,2014,4,11.65758097465
539,Salamanca,2014,4,13.8021198318023
